,Timestamp,Marker
0,8505.881149,Experiment Start
1,8510.904641499,Target A Start
2,8511.480074999,Target A End
3,8511.505277,Goal A Start
4,8511.9337015,Goal A End
5,8511.992505,Target B Start
6,8512.3453255,Target B End
7,8512.433530999,Goal B Start
8,8512.861956,Goal B End
9,8512.9249595,Target C Start
10,8513.336583,Target C End
11,8513.580197499,Goal C Start
12,8513.891015999,Goal C End
13,8513.991821499,Target D Start
14,8514.428647,Target D End
15,8514.6974625,Goal D Start
16,8514.857071999,Goal D End
17,8517.2344105,Target C Start
18,8517.8476465,Target C End
19,8518.0114555,Goal C Start
20,8518.633091499,Goal C End
21,8518.817902499,Target D Start
22,8519.329599999,Target D End
23,8519.645350499,Goal D Start
24,8519.893165499,Goal D End
25,8520.152851999,Target A Start
26,8520.796217499,Target A End
27,8520.846621,Goal A Start
28,8521.3170485,Goal A End
29,8521.337327999,Target B Start
30,8522.7952375,Target B End
31,8522.870842,Goal B Start
32,8523.374873,Goal B End
33,8523.437877,Target C Start
34,8523.920905999,Target C End
35,8524.017926,Goal C Start
36,8524.5257435,Goal C End
37,8524.651750999,Target D Start
38,8525.038174499,Target D End
39,8525.206184999,Goal D Start
40,8525.617809999,Goal D End
41,8525.7270165,Target A Start
42,8526.1134405,Target A End
43,8526.155442999,Goal A Start
44,8526.6090705,Goal A End
45,8526.638472499,Target B Start
46,8527.6675355,Target B End
47,8527.743140499,Goal B Start
48,8528.335376499,Goal B End
49,8528.389979999,Target C Start
50,8528.805804999,Target C End
51,8528.9192125,Goal C Start
52,8529.507247999,Goal C End
53,8529.557650999,Target D Start
54,8530.078483,Target D End
55,8530.212891499,Goal D Start
56,8530.851330499,Goal D End
57,8530.939535999,Target A Start
58,8531.2797565,Target A End
59,8531.304958,Goal A Start
60,8531.766986499,Goal A End
61,8531.792187999,Target B Start
62,8532.535633499,Target B End
63,8532.6196385,Goal B Start
64,8533.270678499,Goal B End
65,8533.350092,Target C Start
66,8533.732706499,Target C End
67,8533.8587145,Goal C Start
68,8534.459350999,Goal C End
69,8537.050909499,Target B Start
70,8537.3869305,Target B End
71,8537.462534999,Goal B Start
72,8538.188799999,Goal B End
73,8538.264783999,Target C Start
74,8538.7478135,Target C End
75,8538.84862,Goal C Start
76,8539.524860999,Goal C End
77,8539.600465499,Target D Start
78,8540.083495,Target D End
79,8540.293508499,Goal D Start
80,8540.868943499,Goal D End
81,8540.919346499,Target A Start
82,8541.368773999,Target A End
83,8541.4107765,Goal A Start
84,8541.8308025,Goal A End
85,8541.8644045,Target B Start
86,8542.217226,Target B End
87,8542.267628999,Goal B Start
88,8542.738057499,Goal B End
89,8542.775859999,Target C Start
90,8543.233688,Target C End
91,8543.334493999,Goal C Start
92,8543.75452,Goal C End
93,8543.901529,Target D Start
94,8544.287952999,Target D End
95,8544.464363499,Goal D Start
96,8544.833985999,Goal D End
97,8544.880188999,Target A Start
98,8546.367079999,Target A End
99,8546.3922815,Goal A Start
100,8546.728301999,Goal A End
101,8546.808107,Target B Start
102,8547.064322499,Target B End
103,8547.127326499,Goal B Start
104,8547.5515525,Goal B End
105,8547.6103565,Target C Start
106,8548.3748025,Target C End
107,8548.446207,Goal C Start
108,8549.097246999,Goal C End
109,8549.164451,Target D Start
110,8549.651680999,Target D End
111,8549.7902895,Goal D Start
112,8550.2649185,Goal D End
113,8550.340522999,Target A Start
114,8550.8025515,Target A End
115,8550.8361535,Goal A Start
116,8551.096568999,Goal A End
117,8551.138571999,Target B Start
118,8551.6342025,Target B End
119,8551.6930055,Goal B Start
