,Timestamp,Marker
0,6351.300178499,Experiment Start
1,6352.673672999,Target B Start
2,6352.9718935,Target B End
3,6353.026496999,Goal B Start
4,6353.723744999,Goal B End
5,6353.7699485,Target C Start
6,6354.152175,Target C End
7,6354.236179999,Goal C Start
8,6354.9628305,Goal C End
9,6355.264763,Target D Start
10,6355.6180755,Target D End
11,6355.760885499,Goal D Start
12,6356.361527,Goal D End
13,6356.41193,Target A Start
14,6356.7101505,Target A End
15,6356.739552999,Goal A Start
16,6357.390597499,Goal A End
17,6357.495605,Target B Start
18,6357.655216,Target B End
19,6357.714019999,Goal B Start
20,6358.289459499,Goal B End
21,6358.398666999,Target C Start
22,6358.7430905,Target C End
23,6358.814495999,Goal C Start
24,6359.356332999,Goal C End
25,6359.486542,Target D Start
26,6359.89397,Target D End
27,6360.2299935,Goal D Start
28,6360.6164195,Goal D End
29,6360.729827499,Target A Start
30,6361.040649,Target A End
31,6361.158257,Goal A Start
32,6361.443876999,Goal A End
33,6361.494279999,Target B Start
34,6361.7504975,Target B End
35,6361.813501999,Goal B Start
36,6362.296535499,Goal B End
37,6362.393141999,Target C Start
38,6362.7459665,Target C End
39,6362.821571999,Goal C Start
40,6363.258401999,Goal C End
41,6367.047062999,Target B Start
42,6367.3620845,Target B End
43,6367.425089,Goal B Start
44,6368.02993,Goal B End
45,6368.139138,Target C Start
46,6368.563367,Target C End
47,6368.668373999,Goal C Start
48,6369.445915999,Goal C End
49,6369.61764,Target D Start
50,6369.970463999,Target D End
51,6370.0922725,Goal D Start
52,6370.6551115,Goal D End
53,6370.818922,Target A Start
54,6371.0667395,Target A End
55,6371.104542,Goal A Start
56,6371.742985999,Goal A End
57,6371.801789999,Target B Start
58,6372.037006,Target B End
59,6372.091609999,Goal B Start
60,6372.612446,Goal B End
61,6372.725854,Target C Start
62,6373.019873999,Target C End
63,6373.116480499,Goal C Start
64,6373.670918499,Goal C End
65,6373.792727,Target D Start
66,6374.137150999,Target D End
67,6374.279961,Goal D Start
68,6374.70419,Goal D End
69,6374.817597999,Target A Start
70,6375.384636499,Target A End
71,6375.418239499,Goal A Start
72,6375.699658499,Goal A End
73,6377.455379499,Target C Start
74,6377.677994499,Target C End
75,6377.7494,Goal C Start
76,6378.48025,Goal C End
77,6378.614658999,Target D Start
78,6379.001086,Target D End
79,6379.143895499,Goal D Start
80,6379.765538499,Goal D End
81,6379.849544,Target A Start
82,6380.479588,Target A End
83,6380.496388999,Goal A Start
84,6380.924817999,Goal A End
85,6381.0424265,Target B Start
86,6381.235639999,Target B End
87,6381.294444,Goal B Start
88,6382.012693499,Goal B End
89,6382.092499,Target C Start
90,6382.457924,Target C End
91,6382.613335,Goal C Start
92,6383.180373499,Goal C End
93,6383.335783999,Target D Start
94,6383.655005999,Target D End
95,6383.772614499,Goal D Start
96,6384.2976505,Goal D End
97,6384.453061,Target A Start
98,6384.700878499,Target A End
99,6384.7428815,Goal A Start
100,6385.8097545,Goal A End
101,6385.876959499,Target B Start
102,6386.389394499,Target B End
103,6386.4439985,Goal B Start
104,6387.317659,Goal B End
105,6387.452068,Target C Start
106,6387.670482999,Target C End
107,6387.77129,Goal C Start
108,6388.338329,Goal C End
109,6388.518941,Target D Start
110,6388.896967,Target D End
111,6389.140584,Goal D Start
112,6389.653019499,Goal D End
113,6389.703422999,Target A Start
114,6390.010044,Target A End
115,6390.039446,Goal A Start
116,6390.543481,Goal A End
117,6390.585483999,Target B Start
118,6390.8207,Target B End
119,6390.871102999,Goal B Start
120,6391.4717445,Goal B End
121,6391.576751999,Target C Start
122,6391.904374499,Target C End
123,6392.013581999,Goal C Start
124,6392.526017,Goal C End
125,6392.7234305,Target D Start
126,6393.017451499,Target D End
127,6393.14766,Goal D Start
128,6393.823906499,Goal D End
129,6395.987055999,Target B Start
130,6396.184469499,Target B End
131,6396.264274999,Goal B Start
132,6397.037127999,Goal B End
133,6397.121133999,Target C Start
134,6397.5621645,Target C End
135,6397.709173999,Goal C Start
136,6398.469426499,Goal C End
137,6398.666839999,Target D Start
138,6398.994462999,Target D End
139,6399.145672999,Goal D Start
140,6399.578303,Goal D End
141,6400.9938005,Target B Start
142,6401.258418499,Target B End
143,6401.3130225,Goal B Start
144,6401.867460999,Goal B End
145,6401.9682675,Target C Start
146,6402.354693999,Target C End
147,6402.463901999,Goal C Start
148,6403.240955499,Goal C End
149,6403.446769,Target D Start
150,6403.963405,Target D End
151,6404.085213,Goal D Start
152,6404.643852,Goal D End
153,6405.420904999,Target A Start
154,6405.836734,Target A End
155,6405.857734999,Goal A Start
156,6406.197958499,Goal A End
157,6406.244161999,Target B Start
158,6406.475178,Target B End
159,6406.542382499,Goal B Start
160,6407.096820499,Goal B End
161,6407.185026999,Target C Start
162,6407.537851,Target C End
163,6407.6302575,Goal C Start
164,6408.113290499,Goal C End
165,6408.419911999,Target D Start
166,6408.7769365,Target D End
167,6408.8777435,Goal D Start
168,6409.394378999,Goal D End
169,6412.594998999,Target B Start
170,6412.771411499,Target B End
171,6412.8596175,Goal B Start
172,6413.481748999,Goal B End
173,6413.7290775,Target C Start
174,6413.9348915,Target C End
175,6414.039898999,Goal C Start
176,6414.695143999,Goal C End
177,6417.034705,Target A Start
178,6417.232119,Target A End
179,6417.265720999,Goal A Start
180,6417.752954499,Goal A End
181,6417.803358,Target B Start
182,6418.097378,Target B End
183,6418.1435815,Goal B Start
184,6418.685418999,Goal B End
185,6419.399467999,Target C Start
186,6419.710289,Target C End
187,6419.811095999,Goal C Start
188,6420.3697345,Goal C End
189,6421.642422499,Target A Start
190,6422.0162485,Target A End
