,Timestamp,Marker
0,7039.8115935,Experiment Start
1,7041.168287,Target B Start
2,7041.592516499,Target B End
3,7041.789929999,Goal B Start
4,7042.222559499,Goal B End
5,7042.335967499,Target C Start
6,7042.575383999,Target C End
7,7042.650989499,Goal C Start
8,7043.2390295,Goal C End
9,7043.386039999,Target D Start
10,7043.520448999,Target D End
11,7043.629656999,Goal D Start
12,7044.146292499,Goal D End
13,7044.209296499,Target A Start
14,7044.5831225,Target A End
15,7044.612524,Goal A Start
16,7044.944347499,Goal A End
17,7045.108158499,Target B Start
18,7045.3895775,Target B End
19,7045.444181499,Goal B Start
20,7045.927214499,Goal B End
21,7047.166299999,Target D Start
22,7047.4603205,Target D End
23,7047.59893,Goal D Start
24,7047.985356499,Goal D End
25,7048.7078065,Target A Start
26,7048.917820499,Target A End
27,7048.947223,Goal A Start
28,7049.728477,Goal A End
29,7051.257381999,Target C Start
30,7051.660609999,Target C End
31,7051.778217999,Goal C Start
32,7052.3956605,Goal C End
33,7052.551070999,Target D Start
34,7052.916496499,Target D End
35,7053.046705,Goal D Start
36,7053.739752499,Goal D End
37,7053.861560999,Target A Start
38,7054.432800999,Target A End
39,7054.483204,Goal A Start
40,7054.991438999,Goal A End
41,7055.0712445,Target B Start
42,7055.293859999,Target B End
43,7055.411468,Goal B Start
44,7055.860898999,Goal B End
45,7055.995307999,Target C Start
46,7056.314529999,Target C End
47,7056.457339999,Goal C Start
48,7056.923572499,Goal C End
49,7057.0999845,Target D Start
50,7057.3772035,Target D End
51,7057.507411999,Goal D Start
52,7057.961043499,Goal D End
53,7058.112253999,Target A Start
54,7058.4104745,Target A End
55,7058.448276999,Goal A Start
56,7058.868306,Goal A End
57,7058.969113,Target B Start
58,7059.4101435,Target B End
59,7059.481547999,Goal B Start
60,7060.044386999,Goal B End
61,7060.170395999,Target C Start
62,7060.4602155,Target C End
63,7060.552621999,Goal C Start
64,7061.186866,Goal C End
65,7063.57263,Target A Start
66,7063.933854999,Target A End
67,7063.980058,Goal A Start
68,7064.358084499,Goal A End
69,7064.454690999,Target B Start
70,7064.765511999,Target B End
71,7064.811715499,Goal B Start
72,7065.2821475,Goal B End
73,7065.3997555,Target C Start
74,7065.655973499,Target C End
75,7065.739978999,Goal C Start
76,7066.172608999,Goal C End
77,7068.234951,Target B Start
78,7068.415563499,Target B End
79,7068.470166999,Goal B Start
80,7069.0876095,Goal B End
81,7069.423633,Target C Start
82,7069.763856499,Target C End
83,7069.856262999,Goal C Start
84,7070.381299,Goal C End
85,7070.486306,Target D Start
86,7070.784526499,Target D End
87,7070.906334999,Goal D Start
88,7071.317963499,Goal D End
89,7071.427170999,Target A Start
90,7072.023611999,Target A End
91,7072.065614999,Goal A Start
92,7072.271429,Goal A End
93,7075.274636,Target D Start
94,7075.551854999,Target D End
95,7075.711466,Goal D Start
96,7076.303706499,Goal D End
