,Timestamp,Marker
0,20269.846476999,Experiment Start
1,20271.077144499,Target B Start
2,20271.291355499,Target B End
3,20271.362759499,Goal B Start
4,20272.123000999,Goal B End
5,20272.211205999,Target C Start
6,20272.585026,Target C End
7,20272.799237999,Goal C Start
8,20273.513276999,Goal C End
9,20276.634046499,Target B Start
10,20276.8608585,Target B End
11,20276.928062499,Goal B Start
12,20277.450718,Goal B End
13,20278.834966,Target D Start
14,20279.212986499,Target D End
15,20279.416424999,Goal D Start
16,20279.916797999,Goal D End
17,20280.267244499,Target A Start
18,20280.7544705,Target A End
19,20280.800672999,Goal A Start
20,20281.317301,Goal A End
21,20281.376104499,Target B Start
22,20281.5987165,Target B End
23,20281.6533195,Goal B Start
24,20282.476564,Goal B End
25,20282.560569,Target C Start
26,20282.955390499,Target C End
27,20283.072996499,Goal C Start
28,20283.715631999,Goal C End
29,20285.290716999,Target A Start
30,20285.513329499,Target A End
31,20285.551131499,Goal A Start
32,20286.512984,Goal A End
33,20286.571787,Target B Start
34,20286.790199,Target B End
35,20286.878403499,Goal B Start
36,20287.6470455,Goal B End
37,20287.7184495,Target C Start
38,20288.004065,Target C End
39,20288.201475499,Goal C Start
40,20288.810509,Goal C End
41,20288.894513499,Target D Start
42,20289.297735499,Target D End
43,20289.4615445,Goal D Start
44,20290.372993999,Goal D End
45,20290.444397999,Target A Start
46,20290.889622,Target A End
47,20290.944224999,Goal A Start
48,20291.549057999,Goal A End
49,20291.591059999,Target B Start
50,20291.885075999,Target B End
51,20291.9606805,Goal B Start
52,20292.6495175,Goal B End
53,20293.203948,Target C Start
54,20293.355155999,Target C End
55,20293.497964,Goal C Start
56,20294.497618,Goal C End
57,20298.420631499,Target C Start
58,20298.777651,Target C End
59,20298.886856999,Goal C Start
60,20299.542093,Goal C End
61,20299.638697999,Target D Start
62,20300.041919999,Target D End
63,20300.209929,Goal D Start
64,20300.9155675,Goal D End
65,20300.9743705,Target A Start
66,20301.335590499,Target A End
67,20301.394393499,Goal A Start
68,20301.9110215,Goal A End
69,20301.982425499,Target B Start
70,20302.184036499,Target B End
71,20302.293242499,Goal B Start
72,20302.814071,Goal B End
73,20302.898075,Target C Start
74,20303.246694499,Target C End
75,20303.354064999,Goal C Start
76,20304.1917455,Goal C End
77,20305.107395499,Target D Start
78,20305.447614,Target D End
79,20305.5862215,Goal D Start
80,20306.533108999,Goal D End
81,20306.602676999,Target A Start
82,20307.1151045,Target A End
83,20307.1487065,Goal A Start
84,20307.530927499,Goal A End
85,20307.5855305,Target B Start
86,20307.837544,Target B End
87,20307.921548499,Goal B Start
88,20308.4549775,Goal B End
89,20308.534781999,Target C Start
90,20308.879200999,Target C End
91,20309.022007999,Goal C Start
92,20309.496634499,Goal C End
93,20309.593239499,Target D Start
94,20309.933457499,Target D End
95,20310.0972665,Goal D Start
96,20310.836506999,Goal D End
97,20310.9205115,Target A Start
98,20311.168324999,Target A End
99,20311.206126999,Goal A Start
100,20311.865562999,Goal A End
101,20312.094214,Target B Start
102,20312.390591499,Target B End
103,20312.466196,Goal B Start
104,20313.163433499,Goal B End
105,20313.2558385,Target C Start
106,20313.554055,Target C End
107,20313.692662499,Goal C Start
108,20314.2470925,Goal C End
