,Timestamp,Marker
0,19112.9522255,Experiment Start
1,19114.455906999,Target B Start
2,19114.670118499,Target B End
3,19114.737322,Goal B Start
4,19115.5899685,Goal B End
5,19115.644571,Target C Start
6,19115.909186,Target C End
7,19116.114997,Goal C Start
8,19116.883638499,Goal C End
9,19116.946641999,Target D Start
10,19117.307861499,Target D End
11,19117.489794,Goal D Start
12,19118.139506999,Goal D End
13,19118.18991,Target A Start
14,19118.462924499,Target A End
15,19118.4839255,Goal A Start
16,19119.155962,Goal A End
17,19119.189564,Target B Start
18,19119.403775499,Target B End
19,19119.449978,Goal B Start
20,19120.260622,Goal B End
21,19120.306824999,Target C Start
22,19120.634442499,Target C End
23,19120.827653,Goal C Start
24,19121.772704499,Goal C End
25,19121.8525085,Target D Start
26,19122.117122999,Target D End
27,19122.234729499,Goal D Start
28,19123.242784,Goal D End
29,19123.314188,Target A Start
30,19123.646005999,Target A End
31,19123.683808,Goal A Start
32,19124.179434999,Goal A End
33,19124.221437,Target B Start
34,19124.4440495,Target B End
35,19124.511253,Goal B Start
36,19125.2084905,Goal B End
37,19125.263093499,Target C Start
38,19125.481505499,Target C End
39,19125.607512499,Goal C Start
40,19126.5231625,Goal C End
41,19126.615567499,Target D Start
42,19126.796177,Target D End
43,19127.080468,Goal D Start
44,19128.085646999,Goal D End
45,19128.161250999,Target A Start
46,19128.518270499,Target A End
47,19128.543471999,Goal A Start
48,19129.442320499,Goal A End
49,19137.199704499,Target D Start
50,19137.5021205,Target D End
51,19137.720532499,Goal D Start
52,19138.59749,Goal D End
53,19142.281978499,Target D Start
54,19142.5045905,Target D End
55,19142.605395999,Goal D Start
56,19143.663852999,Goal D End
57,19143.739456999,Target A Start
58,19144.1342785,Target A End
59,19144.155279499,Goal A Start
60,19144.8441165,Goal A End
61,19144.9029195,Target B Start
62,19145.0709285,Target B End
63,19145.1381325,Goal B Start
64,19145.9571765,Goal B End
65,19146.0285805,Target C Start
66,19146.2637935,Target C End
67,19146.339397499,Goal C Start
68,19147.255046999,Goal C End
69,19148.599118999,Target A Start
70,19148.876334,Target A End
71,19148.918336,Goal A Start
72,19149.6071735,Goal A End
73,19149.657575999,Target B Start
74,19149.913789999,Target B End
75,19150.001994999,Goal B Start
76,19150.724433999,Goal B End
77,19150.783236999,Target C Start
78,19151.173858,Target C End
79,19151.262062499,Goal C Start
80,19151.732488499,Goal C End
81,19152.127309499,Target D Start
82,19152.3667225,Target D End
83,19152.4717285,Goal D Start
84,19153.559586499,Goal D End
85,19153.647791499,Target A Start
86,19153.9250065,Target A End
87,19153.958608499,Goal A Start
88,19154.6936475,Goal A End
89,19154.731449999,Target B Start
90,19155.000264499,Target B End
91,19155.168273499,Goal B Start
92,19155.705902499,Goal B End
93,19155.798306999,Target C Start
94,19156.155327,Target C End
95,19156.344337,Goal C Start
96,19156.9659705,Goal C End
97,19157.058375499,Target D Start
98,19157.339790999,Target D End
99,19157.533001,Goal D Start
100,19158.2638405,Goal D End
101,19158.326843999,Target A Start
102,19158.679663,Target A End
103,19158.7216655,Goal A Start
104,19159.515507999,Goal A End
105,19159.570110499,Target B Start
106,19159.792722999,Target B End
107,19159.964932499,Goal B Start
108,19160.6075665,Goal B End
109,19160.666369999,Target C Start
110,19160.972986499,Target C End
111,19161.073792,Goal C Start
112,19161.9138375,Goal C End
113,19163.25791,Target A Start
114,19163.539324999,Target A End
115,19163.568726999,Goal A Start
116,19164.089554999,Goal A End
117,19164.131557,Target B Start
118,19164.387771,Target B End
119,19164.484376,Goal B Start
120,19165.038805999,Goal B End
121,19165.11441,Target C Start
122,19165.48823,Target C End
123,19165.584835499,Goal C Start
124,19166.3282755,Goal C End
125,19166.4248805,Target D Start
126,19166.752498499,Target D End
127,19166.861704499,Goal D Start
128,19167.7983545,Goal D End
129,19167.869758499,Target A Start
130,19168.293981499,Target A End
131,19168.340184,Goal A Start
132,19168.8358105,Goal A End
133,19168.8862135,Target B Start
134,19169.1634285,Target B End
135,19169.255833499,Goal B Start
136,19169.8480655,Goal B End
137,19169.936269999,Target C Start
138,19170.4864995,Target C End
139,19170.625106999,Goal C Start
140,19171.229939999,Goal C End
141,19171.330744999,Target D Start
142,19171.649962,Target D End
143,19171.742366999,Goal D Start
144,19172.481607,Goal D End
145,19172.548811,Target A Start
146,19172.9688335,Target A End
147,19172.998234999,Goal A Start
148,19173.4686605,Goal A End
149,19173.527463999,Target B Start
150,19173.796278,Target B End
151,19173.850880999,Goal B Start
152,19174.3717095,Goal B End
153,19178.403926999,Target B Start
154,19178.668540999,Target B End
155,19178.731544,Goal B Start
156,19179.302775,Goal B End
157,19179.369979,Target C Start
158,19179.726997999,Target C End
159,19179.916008,Goal C Start
160,19180.583844,Goal C End
161,19180.856858999,Target D Start
162,19181.045869,Target D End
163,19181.184476499,Goal D Start
164,19181.8271115,Goal D End
165,19181.9237165,Target A Start
166,19182.587352499,Target A End
167,19182.6041535,Goal A Start
168,19183.108180499,Goal A End
169,19183.183784499,Target B Start
170,19183.452599,Target B End
171,19183.561805,Goal B Start
172,19184.057431499,Goal B End
173,19184.166637499,Target C Start
174,19184.473254,Target C End
175,19184.628662499,Goal C Start
176,19185.166291,Goal C End
177,19185.267096999,Target D Start
178,19185.825726999,Target D End
179,19186.010537,Goal D Start
180,19186.863183,Experiment End
181,19186.879983999,Goal D End
