,Timestamp,Marker
0,19945.498548999,Experiment Start
1,19953.295519999,Target B Start
2,19953.551734,Target B End
3,19953.623137499,Goal B Start
4,19954.2951745,Goal B End
5,19954.3707785,Target C Start
6,19954.719397,Target C End
7,19954.858004499,Goal C Start
8,19955.467037499,Goal C End
9,19955.555242499,Target D Start
10,19955.908061499,Target D End
11,19956.017267499,Goal D Start
12,19956.803691,Goal D End
13,19956.899314499,Target A Start
14,19957.222732499,Target A End
15,19957.273135,Goal A Start
16,19957.9619725,Goal A End
17,19958.016575499,Target B Start
18,19958.260188499,Target B End
19,19958.3945955,Goal B Start
20,19958.7306135,Goal B End
21,19961.519564499,Target A Start
22,19961.851382499,Target A End
23,19961.897584999,Goal A Start
24,19962.363810499,Goal A End
25,19962.431013499,Target B Start
26,19962.657826,Target B End
27,19962.729229999,Goal B Start
28,19963.439068499,Goal B End
29,19963.515653999,Target C Start
30,19963.8422895,Target C End
31,19963.9976985,Goal C Start
32,19964.5563285,Goal C End
33,19964.640333499,Target D Start
34,19964.9175485,Target D End
35,19965.156961,Goal D Start
36,19966.2700215,Goal D End
37,19968.500341999,Target C Start
38,19968.798557499,Target C End
39,19968.903563499,Goal C Start
40,19969.592401,Goal C End
41,19969.668004999,Target D Start
42,19969.9242185,Target D End
43,19970.058625999,Goal D Start
44,19970.776864999,Goal D End
45,19970.866051,Target A Start
46,19971.213688,Target A End
47,19971.381696999,Goal A Start
48,19972.1083365,Goal A End
49,19972.142919999,Target B Start
50,19972.456955,Target B End
51,19972.566161499,Goal B Start
52,19973.023986,Goal B End
53,19973.10379,Target C Start
54,19973.427208,Target C End
55,19973.570996999,Goal C Start
56,19974.145447,Goal C End
57,19977.568632,Target C Start
58,19977.858446999,Target C End
59,19977.9970545,Goal C Start
60,19978.610287999,Goal C End
61,19978.690091999,Target D Start
62,19978.988307999,Target D End
63,19979.198319499,Goal D Start
64,19980.568575,Goal D End
65,19982.8399165,Target C Start
66,19983.196936,Target C End
67,19983.3523445,Goal C Start
68,19984.0663825,Goal C End
69,19984.141986499,Target D Start
70,19984.482205,Target D End
71,19984.6544145,Goal D Start
72,19985.649868499,Goal D End
73,19985.721272499,Target A Start
74,19986.015288499,Target A End
75,19986.0488895,Goal A Start
76,19986.8049305,Goal A End
77,19986.846932499,Target B Start
78,19987.073745499,Target B End
79,19987.1493495,Goal B Start
80,19987.762582499,Goal B End
81,19987.829786,Target C Start
82,19988.153203499,Target C End
83,19988.291811499,Goal C Start
84,19988.9722475,Goal C End
85,19989.064652499,Target D Start
86,19989.3754695,Target D End
87,19989.577080499,Goal D Start
88,19990.228115999,Goal D End
89,19990.282718499,Target A Start
90,19990.702741499,Target A End
91,19990.7951465,Goal A Start
92,19991.177367,Goal A End
93,19992.038413499,Target B Start
94,19992.307227999,Target B End
95,19992.421614999,Goal B Start
96,19993.138872999,Goal B End
97,19993.206076499,Target C Start
98,19993.6050985,Target C End
99,19993.735305,Goal C Start
100,19994.5039465,Goal C End
101,19994.5753505,Target D Start
102,19994.894567999,Target D End
103,19995.0667775,Goal D Start
104,19995.911023,Goal D End
105,19995.9782265,Target A Start
106,19996.242840499,Target A End
107,19996.289042999,Goal A Start
108,19996.8896755,Goal A End
109,19996.944278499,Target B Start
110,19997.1458895,Target B End
111,19997.255095499,Goal B Start
112,19997.939732499,Goal B End
113,19998.011136,Target C Start
114,19998.26735,Target C End
115,19998.397557,Goal C Start
116,19999.031791,Goal C End
117,19999.1283965,Target D Start
118,19999.414012,Target D End
119,19999.582021,Goal D Start
120,20000.720282499,Goal D End
121,20000.779086,Target A Start
122,20001.094103,Target A End
123,20001.136104999,Goal A Start
124,20001.740938,Goal A End
125,20001.794559999,Target B Start
126,20002.043354,Target B End
127,20002.110558,Goal B Start
128,20002.694389,Goal B End
129,20002.774193999,Target C Start
130,20003.0724095,Target C End
131,20003.26142,Goal C Start
132,20003.727644999,Goal C End
133,20003.807448999,Target D Start
134,20004.105665499,Target D End
135,20004.261074,Goal D Start
136,20004.997093999,Goal D End
137,20005.2355265,Target A Start
138,20005.731153,Target A End
139,20005.789956499,Goal A Start
140,20006.1595765,Goal A End
141,20006.209978999,Target B Start
142,20006.356986999,Target B End
143,20006.403189999,Goal B Start
144,20007.633856,Goal B End
145,20008.856878999,Target C Start
146,20009.037489,Target C End
147,20009.096292499,Goal C Start
148,20010.079145499,Goal C End
149,20010.200952499,Target D Start
150,20010.4739675,Target D End
151,20010.646176499,Goal D Start
152,20011.62903,Goal D End
153,20018.593009,Target C Start
154,20018.7652185,Target C End
155,20018.916426499,Goal C Start
156,20019.773272999,Goal C End
157,20019.9034805,Target D Start
158,20020.176494999,Target D End
159,20020.369706,Goal D Start
160,20021.3609595,Goal D End
161,20021.4323635,Target A Start
162,20021.675976999,Target A End
163,20021.7137785,Goal A Start
164,20022.432017499,Goal A End
165,20022.474020499,Target B Start
166,20022.667230499,Target B End
167,20022.7176335,Goal B Start
168,20023.339266999,Goal B End
169,20023.435872499,Target C Start
170,20023.671085,Target C End
171,20023.818093,Goal C Start
172,20024.487671999,Goal C End
173,20025.924150999,Experiment End
