,Timestamp,Marker
0,8529.3752205,Experiment Start
1,8531.639173999,Target B Start
2,8531.844988,Target B End
3,8531.9037915,Goal B Start
4,8532.340620999,Goal B End
5,8532.437227499,Target C Start
6,8532.7186465,Target C End
7,8532.815253,Goal C Start
8,8533.399092499,Goal C End
9,8533.525100999,Target D Start
10,8533.865324,Target D End
11,8534.134142,Goal D Start
12,8534.499566499,Goal D End
13,8534.667578,Target A Start
14,8535.041403499,Target A End
15,8535.075005999,Goal A Start
16,8535.297620499,Goal A End
17,8535.343823999,Target B Start
18,8535.566439,Target B End
19,8535.654644499,Goal B Start
20,8536.129277,Goal B End
21,8536.192281499,Target C Start
22,8536.473699999,Target C End
23,8536.5535055,Goal C Start
24,8537.1289445,Goal C End
25,8537.326358,Target D Start
26,8537.527971499,Target D End
27,8537.830391999,Goal D Start
28,8538.24622,Goal D End
29,8539.350894499,Target B Start
30,8539.560908499,Target B End
31,8539.636513999,Goal B Start
32,8540.106945499,Goal B End
33,8540.174149999,Target C Start
34,8540.451368499,Target C End
35,8540.5563755,Goal C Start
36,8540.9344015,Goal C End
37,8542.9085345,Target D Start
38,8543.122749499,Target D End
39,8543.328563499,Goal D Start
40,8543.7107885,Goal D End
41,8543.786394,Target A Start
42,8544.290428,Target A End
43,8544.336631,Goal A Start
44,8544.5004425,Goal A End
45,8544.555046,Target B Start
46,8544.9792745,Target B End
47,8545.0464795,Goal B Start
48,8545.2858955,Goal B End
49,8545.374101,Target C Start
50,8545.768928,Target C End
51,8545.936939499,Goal C Start
52,8546.260361,Goal C End
53,8546.508177499,Target D Start
54,8546.718192,Target D End
55,8546.882002999,Goal D Start
56,8547.352435,Goal D End
57,8547.4490415,Target A Start
58,8547.768262999,Target A End
59,8547.8102655,Goal A Start
60,8548.133687499,Goal A End
61,8548.17149,Target B Start
62,8548.746929,Target B End
63,8548.793132499,Goal B Start
64,8548.973744499,Goal B End
65,8549.0493495,Target C Start
66,8549.843203,Target C End
67,8550.002813999,Goal C Start
68,8550.3598375,Goal C End
69,8550.456443999,Target D Start
70,8551.288100499,Target D End
71,8551.5401175,Goal D Start
72,8551.792134499,Goal D End
73,8552.699395999,Target B Start
74,8552.972413999,Target B End
75,8553.043819499,Goal B Start
76,8553.371441499,Goal B End
77,8553.451247,Target C Start
78,8553.820872,Target C End
79,8553.993083499,Goal C Start
80,8554.350107,Goal C End
81,8554.656727999,Target D Start
82,8554.803737999,Target D End
83,8555.038953499,Goal D Start
84,8555.467382499,Goal D End
85,8555.563988999,Target A Start
86,8555.937814499,Target A End
87,8555.9546155,Goal A Start
88,8556.227634499,Goal A End
89,8556.2780375,Target B Start
90,8556.630861499,Target B End
91,8556.7484695,Goal B Start
92,8556.966883999,Goal B End
93,8557.05089,Target C Start
94,8557.479319,Target C End
95,8557.634729,Goal C Start
96,8558.000154,Goal C End
97,8561.1041635,Target A Start
98,8561.473788499,Target A End
99,8561.519991499,Goal A Start
100,8561.751006999,Goal A End
101,8561.805610999,Target B Start
102,8562.418852499,Target B End
103,8562.5154585,Goal B Start
104,8562.897684499,Goal B End
105,8562.990090999,Target C Start
106,8563.3513155,Target C End
107,8563.544528,Goal C Start
108,8563.825947499,Goal C End
109,8563.977157499,Target D Start
110,8564.266977499,Target D End
111,8564.510593999,Goal D Start
112,8564.9222215,Goal D End
113,8564.997825999,Target A Start
114,8565.375852,Target A End
115,8565.417854999,Goal A Start
116,8565.728675499,Goal A End
117,8565.787479999,Target B Start
118,8566.056297999,Target B End
119,8566.2243095,Goal B Start
