,Timestamp,Marker
0,8239.257428,Experiment Start
1,8240.4167065,Target B Start
2,8240.727527499,Target B End
3,8240.794731999,Goal B Start
4,8241.3827715,Goal B End
5,8241.433175,Target C Start
6,8241.8112005,Target C End
7,8241.937208999,Goal C Start
8,8242.533649,Goal C End
9,8242.6512575,Target D Start
10,8243.012482,Target D End
11,8243.130089499,Goal D Start
12,8243.6845275,Goal D End
13,8243.7517315,Target A Start
14,8244.217962999,Target A End
15,8244.2557655,Goal A Start
16,8244.579187499,Goal A End
17,8244.625390499,Target B Start
18,8244.944611999,Target B End
19,8245.024418,Goal B Start
20,8245.5662545,Goal B End
21,8245.6334585,Target C Start
22,8245.956880499,Target C End
23,8246.129091999,Goal C Start
24,8246.8935435,Goal C End
25,8247.0111515,Target D Start
26,8247.414378999,Target D End
27,8247.558102999,Goal D Start
28,8248.0486215,Goal D End
29,8248.103225499,Target A Start
30,8248.506452999,Target A End
31,8248.5442555,Goal A Start
32,8248.90968,Goal A End
33,8248.9600835,Target B Start
34,8249.233102,Target B End
35,8249.3213075,Goal B Start
36,8249.7623375,Goal B End
37,8249.842142999,Target C Start
38,8250.165564999,Target C End
39,8250.3041745,Goal C Start
40,8251.396248,Goal C End
41,8251.4928545,Target D Start
42,8251.841478,Target D End
43,8252.076693499,Goal D Start
44,8252.45892,Goal D End
45,8252.513523499,Target A Start
46,8252.8537465,Target A End
47,8252.90835,Goal A Start
48,8253.408183999,Goal A End
49,8253.466988,Target B Start
50,8254.122231999,Target B End
51,8254.252441,Goal B Start
52,8254.777475999,Goal B End
53,8254.886684,Target C Start
54,8255.197504499,Target C End
55,8255.357115499,Goal C Start
56,8256.373584,Goal C End
57,8256.562597,Target D Start
58,8256.768411,Target D End
59,8256.932221999,Goal D Start
60,8257.65047,Goal D End
61,8257.717674999,Target A Start
62,8258.150303999,Target A End
63,8258.162905,Goal A Start
64,8258.616535499,Goal A End
65,8258.675339499,Target B Start
66,8258.906354999,Target B End
67,8258.97356,Goal B Start
68,8259.603602499,Goal B End
69,8259.696008499,Target C Start
70,8259.964826499,Target C End
71,8260.044632,Goal C Start
72,8260.762880499,Goal C End
73,8261.686943,Target D Start
74,8261.9893635,Target D End
75,8262.245580499,Goal D Start
76,8262.758014999,Goal D End
77,8262.82942,Target A Start
78,8263.308252499,Target A End
79,8263.341854499,Goal A Start
80,8263.833287999,Goal A End
81,8265.425194999,Target C Start
82,8265.8452235,Target C End
83,8265.996434,Goal C Start
84,8266.685280499,Goal C End
85,8266.790287499,Target D Start
86,8267.113709499,Target D End
87,8267.3279235,Goal D Start
88,8267.978967499,Goal D End
89,8268.050372499,Target A Start
90,8268.478801499,Target A End
91,8268.520804499,Goal A Start
92,8268.957634,Goal A End
93,8269.016438,Target B Start
94,8269.272655,Target B End
95,8269.339859499,Goal B Start
96,8269.9320995,Goal B End
97,8270.041307499,Target C Start
98,8270.4151325,Target C End
99,8270.587343999,Goal C Start
100,8271.036774,Goal C End
101,8271.175384,Target D Start
102,8271.633214499,Target D End
103,8271.8516295,Goal D Start
104,8272.334662,Goal D End
105,8272.464871,Target A Start
106,8272.931102499,Target A End
107,8272.968904999,Goal A Start
108,8273.380532499,Goal A End
109,8273.422535,Target B Start
110,8273.6661515,Target B End
111,8273.716555499,Goal B Start
112,8274.333996999,Goal B End
113,8274.422203,Target C Start
114,8274.682620499,Target C End
115,8274.850631999,Goal C Start
116,8275.379867499,Goal C End
117,8275.501675999,Target D Start
118,8275.766294,Target D End
119,8275.917504,Goal D Start
120,8276.425737999,Goal D End
121,8276.5223445,Target A Start
122,8276.925572,Target A End
123,8276.963374499,Goal A Start
124,8277.375002,Goal A End
125,8277.429606499,Target B Start
126,8277.664821999,Target B End
127,8277.727825999,Goal B Start
128,8278.328466499,Goal B End
129,8278.395671499,Target C Start
130,8278.693890999,Target C End
131,8278.815699499,Goal C Start
132,8279.361736499,Goal C End
133,8279.4751445,Target D Start
134,8279.735561999,Target D End
135,8279.890972499,Goal D Start
136,8280.487412999,Goal D End
137,8280.5630175,Target A Start
138,8280.999846999,Target A End
139,8281.033449499,Goal A Start
140,8281.991114,Goal A End
141,8282.049918,Target B Start
142,8282.2347305,Target B End
143,8282.310336,Goal B Start
144,8282.772366999,Goal B End
145,8282.873174,Target C Start
146,8283.209196499,Target C End
147,8283.3142035,Goal C Start
148,8283.910643999,Goal C End
149,8284.032451999,Target D Start
150,8284.334872499,Target D End
151,8284.582689499,Goal D Start
152,8285.0195185,Goal D End
153,8285.095123499,Target A Start
154,8285.4731495,Target A End
155,8285.519352499,Goal A Start
156,8285.821772499,Goal A End
157,8285.880576499,Target B Start
158,8286.140994,Target B End
159,8286.224999999,Goal B Start
160,8286.649229,Goal B End
161,8286.8130395,Target C Start
162,8286.997852,Target C End
163,8287.186864999,Goal C Start
164,8287.661497,Goal C End
165,8287.7833055,Target D Start
166,8288.018520999,Target D End
167,8288.413347499,Goal D Start
168,8288.711567999,Goal D End
169,8289.551624499,Target A Start
170,8289.761639,Target A End
171,8289.820443,Goal A Start
172,8290.1816675,Goal A End
173,8290.2320705,Target B Start
174,8290.429484,Target B End
175,8290.509289499,Goal B Start
176,8290.9713205,Goal B End
177,8291.046925499,Target C Start
178,8291.4921555,Target C End
179,8291.601362999,Goal C Start
180,8292.1431995,Goal C End
181,8292.4330195,Target D Start
182,8292.743839999,Target D End
183,8292.932852999,Goal D Start
184,8293.411685499,Goal D End
185,8293.5208925,Target A Start
186,8293.936721,Target A End
187,8293.966122499,Goal A Start
188,8294.4323545,Goal A End
189,8294.4953585,Target B Start
190,8294.722174,Target B End
191,8294.894385499,Goal B Start
192,8295.54963,Goal B End
193,8295.6168345,Target C Start
194,8295.780645499,Target C End
195,8295.864650999,Goal C Start
196,8296.6417035,Goal C End
197,8296.792913999,Target D Start
198,8296.986127,Target D End
199,8297.065931999,Goal D Start
200,8297.834584,Goal D End
201,8297.935390999,Target A Start
202,8298.237810999,Target A End
203,8298.279814,Goal A Start
204,8298.632637999,Goal A End
205,8298.695642499,Target B Start
206,8298.884655,Target B End
207,8298.968660499,Goal B Start
208,8300.161540999,Goal B End
209,8300.321152,Target C Start
210,8300.468162,Target C End
211,8300.640373999,Goal C Start
212,8301.1738095,Goal C End
213,8301.3796235,Target D Start
214,8301.539233999,Target D End
215,8301.7492485,Goal D Start
216,8302.3162865,Goal D End
217,8302.400292499,Target A Start
218,8302.664910499,Target A End
219,8302.698512499,Goal A Start
220,8303.042935999,Goal A End
221,8303.122740999,Target B Start
222,8303.3411555,Target B End
223,8303.420960999,Goal B Start
224,8303.975398999,Goal B End
225,8304.088806499,Target C Start
226,8304.332422499,Target C End
227,8304.483632999,Goal C Start
228,8305.017068999,Goal C End
229,8305.17668,Target D Start
230,8305.357292,Target D End
231,8305.605108499,Goal D Start
232,8306.247752499,Experiment End
233,8306.5963755,Goal D End
