,Timestamp,Marker
0,7838.550366999,Experiment Start
1,7839.9196595,Target B Start
2,7840.192677999,Target B End
3,7840.251481499,Goal B Start
4,7840.843721999,Goal B End
5,7840.936127999,Target C Start
6,7841.280550999,Target C End
7,7841.389758999,Goal C Start
8,7842.015601,Goal C End
9,7842.196212999,Target D Start
10,7842.5532375,Target D End
11,7842.796854,Goal D Start
12,7843.321889499,Goal D End
13,7843.4941005,Target A Start
14,7843.804921999,Target A End
15,7843.817522499,Goal A Start
16,7844.233350999,Goal A End
17,7844.287954499,Target B Start
18,7844.556773,Target B End
19,7844.6407785,Goal B Start
20,7845.7244515,Goal B End
21,7845.808457499,Target C Start
22,7846.165480999,Target C End
23,7846.413298,Goal C Start
24,7846.976135999,Goal C End
25,7847.156748499,Target D Start
26,7847.496971,Target D End
27,7847.648181499,Goal D Start
28,7848.36223,Goal D End
29,7848.530241,Target A Start
30,7848.9376685,Target A End
31,7848.958669999,Goal A Start
32,7849.622315,Goal A End
33,7849.689518999,Target B Start
34,7849.9415365,Target B End
35,7850.008740499,Goal B Start
36,7850.6261825,Goal B End
37,7850.836196999,Target C Start
38,7851.113415499,Target C End
39,7851.176419999,Goal C Start
40,7851.932471,Goal C End
41,7852.0332775,Target D Start
42,7852.436504999,Target D End
43,7852.633917999,Goal D Start
44,7853.381568499,Goal D End
45,7853.482375499,Target A Start
46,7853.822598499,Target A End
47,7853.864601,Goal A Start
48,7854.7550615,Goal A End
49,7854.797064,Target B Start
50,7854.9902775,Target B End
51,7855.03648,Goal B Start
52,7855.725326499,Goal B End
53,7855.805131999,Target C Start
54,7856.069749999,Target C End
55,7856.157956,Goal C Start
56,7856.863604,Goal C End
57,7856.972811499,Target D Start
58,7857.241629,Target D End
59,7857.434842499,Goal D Start
60,7858.0900865,Goal D End
61,7859.056152,Target B Start
62,7859.270366,Target B End
63,7859.341771499,Goal B Start
64,7859.8752075,Goal B End
65,7859.963412999,Target C Start
66,7860.202828999,Target C End
67,7860.2994355,Goal C Start
68,7860.925277999,Goal C End
69,7861.038685999,Target D Start
70,7861.345306499,Target D End
71,7861.584722499,Goal D Start
72,7862.0383535,Goal D End
73,7862.1223585,Target A Start
74,7862.416379,Target A End
75,7862.4583815,Goal A Start
76,7862.9708165,Goal A End
77,7863.029620499,Target B Start
78,7863.504251999,Target B End
79,7863.579857499,Goal B Start
80,7864.184698499,Goal B End
81,7864.281305,Target C Start
82,7864.5249215,Target C End
83,7864.6761315,Goal C Start
84,7865.2095675,Goal C End
85,7865.423781499,Target D Start
86,7865.642197,Target D End
87,7865.8438105,Goal D Start
88,7866.3772465,Goal D End
89,7866.583059999,Target A Start
90,7866.7678725,Target A End
91,7866.793074499,Goal A Start
92,7867.183700999,Goal A End
93,7867.234104,Target B Start
94,7867.473519999,Target B End
95,7867.540724999,Goal B Start
96,7868.174967999,Goal B End
97,7868.2379715,Target C Start
98,7868.489988999,Target C End
99,7868.624397999,Goal C Start
100,7869.2208385,Goal C End
101,7869.304844,Target D Start
102,7869.619865,Target D End
103,7869.83408,Goal D Start
104,7870.3507145,Goal D End
105,7870.4557215,Target A Start
106,7870.7623425,Target A End
107,7870.800145,Goal A Start
108,7871.257975999,Goal A End
109,7871.312579999,Target B Start
110,7871.5897985,Target B End
111,7871.648602499,Goal B Start
112,7872.194638999,Goal B End
113,7872.278645,Target C Start
114,7872.572664499,Target C End
115,7872.6734715,Goal C Start
116,7873.845350499,Goal C End
117,7875.067633,Target A Start
118,7875.3868545,Target A End
119,7875.4288575,Goal A Start
120,7875.7984825,Goal A End
121,7875.8572865,Target B Start
122,7876.092502499,Target B End
123,7876.163907,Goal B Start
124,7876.693143,Goal B End
125,7876.7477465,Target C Start
126,7877.0417665,Target C End
127,7877.1593745,Goal C Start
128,7877.755815,Goal C End
129,7877.898623999,Target D Start
130,7878.159041999,Target D End
131,7878.3438545,Goal D Start
132,7878.776483499,Goal D End
133,7878.856288999,Target A Start
134,7879.083104499,Target A End
135,7879.129307499,Goal A Start
136,7879.582938499,Goal A End
137,7880.536402499,Target B Start
138,7880.708614,Target B End
139,7880.847223499,Goal B Start
140,7881.233649499,Goal B End
141,7881.3176555,Target C Start
142,7881.586473,Target C End
143,7881.737683499,Goal C Start
144,7882.208115499,Goal C End
145,7882.3173225,Target D Start
146,7882.586140999,Target D End
147,7882.779354,Goal D Start
148,7883.4135965,Goal D End
149,7883.678214499,Target A Start
150,7883.913430999,Target A End
151,7883.938631999,Goal A Start
152,7884.421664999,Goal A End
153,7884.484668999,Target B Start
154,7884.761887999,Target B End
155,7884.820691999,Goal B Start
156,7885.446534,Goal B End
157,7886.2781905,Target C Start
158,7886.534407499,Target C End
159,7886.685617999,Goal C Start
160,7887.361863,Goal C End
161,7887.4836715,Target D Start
162,7887.777691499,Target D End
163,7888.004506999,Goal D Start
164,7889.029376,Goal D End
165,7889.121782,Target A Start
166,7889.323395499,Target A End
167,7889.3485975,Goal A Start
168,7889.903034999,Goal A End
169,7890.478473999,Target B Start
170,7890.675887499,Target B End
171,7890.801895499,Goal B Start
172,7891.297529499,Goal B End
173,7891.415136999,Target C Start
174,7891.6167505,Target C End
175,7891.7763615,Goal C Start
176,7892.356001,Goal C End
177,7893.998311499,Target A Start
178,7894.304932,Target A End
179,7894.363736499,Goal A Start
180,7894.783765,Goal A End
181,7894.834167999,Target B Start
182,7895.102985999,Target B End
183,7895.182791499,Goal B Start
184,7895.703626999,Goal B End
185,7895.775031499,Target C Start
186,7896.127855,Target C End
187,7896.270665,Goal C Start
188,7896.8713055,Goal C End
189,7896.984712999,Target D Start
190,7897.3459375,Target D End
191,7897.522349999,Goal D Start
192,7898.072587,Goal D End
193,7898.1439915,Target A Start
194,7898.4338115,Target A End
195,7898.475814,Goal A Start
196,7898.8622405,Goal A End
197,7898.933645,Target B Start
198,7899.168860499,Target B End
199,7899.2360655,Goal B Start
200,7899.765300999,Goal B End
201,7899.845106499,Target C Start
202,7900.1979305,Target C End
203,7900.3491405,Goal C Start
204,7900.827972999,Goal C End
205,7901.042362999,Target D Start
206,7901.327806999,Target D End
207,7901.596625,Goal D Start
208,7902.037654499,Goal D End
209,7902.100658999,Target A Start
210,7902.659296499,Target A End
211,7902.697098999,Goal A Start
212,7903.5077535,Goal A End
213,7903.570757999,Target B Start
214,7903.797573499,Target B End
215,7903.8563775,Goal B Start
216,7904.398214,Goal B End
217,7904.465418499,Target C Start
218,7904.717435499,Target C End
219,7904.847644499,Goal C Start
220,7905.3264765,Goal C End
221,7905.460885999,Target D Start
222,7905.687700999,Target D End
223,7905.880913999,Goal D Start
224,7906.4941555,Goal D End
225,7906.515156999,Experiment End
